test;valor
pre;5
pre;4
pre;3
pre;4
pre;5
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;3
pre;5
pre;5
pre;5
pre;2
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;5
pre;5
pre;3
pre;5
pre;5
pre;4
pre;5
pre;4
pre;5
pre;4
pre;5
pre;5
pre;4
pre;5
pre;4
pre;1
pre;4
pre;4
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;3
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;3
pre;5
pre;5
pre;4
pre;4
pre;4
pre;4
pre;5
pre;5
pre;4
pre;5
pre;3
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;4
pre;5
pre;4
pre;3
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;4
pre;5
pre;4
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;3
pre;5
pre;4
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;3
pre;4
pre;4
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;4
pre;4
pre;4
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;4
pre;5
pre;3
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;2
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;4
pre;4
pre;4
pre;5
pre;4
pre;5
pre;4
pre;3
pre;5
pre;4
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;4
pre;4
pre;4
pre;5
pre;4
pre;4
pre;5
pre;4
pre;5
pre;4
pre;4
pre;4
pre;5
pre;5
pre;5
pre;3
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;5
pre;4
pre;4
pre;3
pre;4
pre;5
pre;4
pre;3
pre;4
pre;3
pre;4
pre;4
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;5
pre;5
pre;4
pre;5
pre;3
pre;5
pre;4
pre;5
pre;5
pre;3
pre;5
pre;5
pre;4
pre;3
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;4
pre;5
pre;3
pre;5
pre;4
pre;4
pre;5
pre;5
pre;3
pre;4
pre;3
pre;5
pre;5
pre;3
pre;4
pre;5
pre;4
pre;5
pre;4
pre;5
pre;3
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;5
pre;5
pre;4
pre;4
pre;3
pre;5
pre;5
pre;5
pre;5
pre;4
pre;4
pre;4
pre;4
pre;5
pre;3
pre;5
pre;4
pre;4
pre;3
pre;4
pre;4
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;4
pre;5
pre;4
pre;3
pre;5
pre;5
pre;5
pre;4
pre;5
pre;4
pre;3
pre;4
pre;3
pre;4
pre;5
pre;4
pre;4
pre;4
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;3
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;3
pre;5
pre;4
pre;5
pre;4
pre;5
pre;3
pre;0
pre;5
pre;5
pre;3
pre;4
pre;5
pre;3
pre;5
pre;5
pre;4
pre;5
pre;3
pre;5
pre;3
pre;4
pre;4
pre;4
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;4
pre;4
pre;5
pre;5
pre;5
pre;4
pre;5
pre;5
pre;4
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
